MAG	Completeness	Contamination	Total_tRNAs	AA_Coverage	16S	23S	5S	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes	check_Source
T2108174100_metabat2_bins_bin.6	94.7	0.0	34	19	0	0	0	Gradient Boost (General Model)	11	0.861	174170	311.2824760244115	1241882	0.38	1147	10	484636		HSMG_3
T2108174111_concoct_bins_bin.92	91.52	1.75	31	15	0	0	0	Neural Network (Specific Model)	11	0.887	7744	280.42659279778394	4444433	0.6	4693	748	41144		HSMG_3
T2108174118_metabat2_bins_bin.10	100.0	0.0	35	20	0	0	0	Gradient Boost (General Model)	11	0.87	62038	312.2118270079435	1217594	0.38	1133	30	215925		HSMG_3
T2108174122_concoct_bins_bin.111	95.14	3.17	15	11	0	0	0	Gradient Boost (General Model)	11	0.903	10643	283.6907273736813	1692443	0.3	1801	233	36060		HSMG_3
T2108174123_concoct_bins_bin.107	92.46	2.09	33	17	0	0	0	Gradient Boost (General Model)	11	0.917	10915	284.24488219389724	2402425	0.68	2589	295	50512		HSMG_3
T2108174123_concoct_bins_bin.24	94.34	2.54	45	19	0	1	1	Gradient Boost (General Model)	11	0.922	6872	282.8536627505183	5307323	0.6	5788	975	35088		HSMG_3
T2108174131_metabat2_bins_bin.10	96.35	0.0	35	20	0	1	0	Gradient Boost (General Model)	11	0.862	101444	306.9234194122885	1197017	0.38	1123	24	163760		HSMG_3
T2108174140_metabat2_bins_bin.13	100.0	0.04	36	20	0	0	0	Gradient Boost (General Model)	11	0.873	36084	310.0034812880766	1221005	0.38	1149	58	93020		HSMG_3
T2108174141_metabat2_bins_bin.15	97.67	0.0	34	19	0	0	0	Gradient Boost (General Model)	11	0.879	33770	316.5974614687217	1189151	0.38	1103	60	119642		HSMG_3
T2109198905_metabat2_bins_bin.10	94.53	0.06	59	18	0	0	2	Neural Network (Specific Model)	11	0.881	69643	319.78573099415206	4647582	0.6	4275	102	241078		HSMG_3
T2109198911_concoct_bins_bin.5	99.98	3.81	35	14	0	0	6	Neural Network (Specific Model)	11	0.837	13045	257.36134117018435	6896351	0.35	7486	774	93685		HSMG_3
T2109198940_concoct_bins_bin.23	100.0	2.39	46	18	0	0	7	Neural Network (Specific Model)	11	0.821	60287	265.07670454545456	6807995	0.35	7040	206	291450		HSMG_3
T2109198954_maxbin2_bins_bin.2	99.97	3.72	45	19	0	0	4	Neural Network (Specific Model)	11	0.831	94073	282.44985250737466	2762129	0.32	2712	171	462251		HSMG_3
T2109199078_concoct_bins_bin.51	92.75	3.8	48	20	0	0	1	Neural Network (Specific Model)	11	0.869	4976	276.9118960617134	2348923	0.64	2463	602	35922		HSMG_3
T2109199182_metabat2_bins_bin.1	91.41	0.13	64	18	0	0	2	Neural Network (Specific Model)	11	0.89	66423	318.7266278185964	4235160	0.6	3947	98	219950		HSMG_3
T2108174096_metabat2_bins_bin.16	96.04	0.02	34	19	0	0	0	Gradient Boost (General Model)	11	0.862	114526	308.4283246977548	1240563	0.38	1158	17	383837		HSMG_3
T2108174098_metabat2_bins_bin.37	94.53	4.48	34	19	0	0	0	Gradient Boost (General Model)	4	0.89	21868	317.9519906323185	914400	0.35	854	54	70969		HSMG_3
T2108174098_metabat2_bins_bin.53	90.49	1.12	41	19	0	0	0	Neural Network (Specific Model)	11	0.885	34278	291.21347402597405	2422792	0.6	2464	122	78933		HSMG_3
T2108174103_concoct_bins_bin.109	90.74	2.58	32	16	0	0	0	Gradient Boost (General Model)	11	0.916	4106	251.50232685464	3001948	0.65	3653	885	41383		HSMG_3
T2108174134_concoct_bins_bin.34	94.81	4.08	40	18	1	2	1	Neural Network (Specific Model)	11	0.816	10947	264.5698384201077	2705429	0.32	2785	450	46860		HSMG_3
T2108174135_metabat2_bins_bin.137	91.35	2.21	38	16	0	0	0	Gradient Boost (General Model)	11	0.922	7628	279.7213597430407	3394993	0.63	3736	567	53590		HSMG_3
T2108174138_metabat2_bins_bin.19	100.0	0.0	34	20	0	0	0	Gradient Boost (General Model)	11	0.868	50788	305.7474402730376	1236054	0.38	1172	36	128657		HSMG_3
T2109198985_metabat2_bins_bin.7	93.27	3.12	20	13	0	0	3	Neural Network (Specific Model)	11	0.87	97190	302.51679929266135	2356261	0.33	2262	66	265103		HSMG_3
T2109199005_maxbin2_bins_bin.7	100.0	2.8	52	20	1	3	1	Neural Network (Specific Model)	11	0.893	299228	308.7500935278713	2764030	0.59	2673	136	572743		HSMG_3
T2109199037_concoct_bins_bin.27	90.19	0.39	15	8	0	0	1	Neural Network (Specific Model)	11	0.836	32716	278.72551492223624	2377352	0.32	2379	107	285959		HSMG_3
T2109199206_concoct_bins_bin.21	94.49	3.63	45	20	3	1	1	Neural Network (Specific Model)	11	0.885	6593	286.2353297035693	1600891	0.52	1653	281	24980		HSMG_3
T2108173934_metabat2_bins_bin.53	92.64	0.31	33	17	0	0	0	Gradient Boost (General Model)	11	0.933	36633	324.16954574536146	1625356	0.4	1563	68	97868		HSMG_3
T2108173936_maxbin2_bins_bin.15	98.33	4.23	75	20	9	12	3	Neural Network (Specific Model)	11	0.803	285363	236.9804534792807	2256290	0.51	2558	519	514359		HSMG_3
T2108174097_metabat2_bins_bin.8	100.0	0.1	35	20	0	0	0	Gradient Boost (General Model)	11	0.863	159299	309.64098073555164	1225922	0.38	1142	12	312337		HSMG_3
T2108174098_metabat2_bins_bin.107	94.86	0.77	59	18	0	0	4	Neural Network (Specific Model)	11	0.896	106108	322.3158148505304	4468640	0.61	4148	78	200698		HSMG_3
T2108174135_maxbin2_bins_bin.2	98.1	0.2	41	20	1	1	1	Neural Network (Specific Model)	11	0.897	291143	272.4701365187713	1066091	0.48	1172	8	300522		HSMG_3
T2109198876_concoct_bins_bin.4	90.42	0.03	54	19	0	0	1	Neural Network (Specific Model)	11	0.896	119286	325.5374545454545	4489396	0.66	4125	61	318105		HSMG_3
T2109198885_concoct_bins_bin.26	99.99	3.85	53	20	3	1	2	Neural Network (Specific Model)	11	0.902	38791	296.30203498750444	2754170	0.58	2801	268	177050		HSMG_3
T2109198923_concoct_bins_bin.37	96.26	2.65	31	15	0	0	4	Neural Network (Specific Model)	11	0.867	26687	292.53586999603647	2551029	0.34	2523	132	94525		HSMG_3
T2109198978_maxbin2_bins_bin.4	100.0	1.59	49	20	0	0	1	Neural Network (Specific Model)	11	0.874	364681	329.70416024653315	2932265	0.7	2596	157	899240		HSMG_3
T2109199012_concoct_bins_bin.42	93.66	2.89	44	19	0	0	1	Neural Network (Specific Model)	11	0.896	6402	273.5079575596817	4826856	0.66	5278	1068	37703		HSMG_3
T2109199064_maxbin2_bins_bin.9	99.99	4.09	44	20	1	2	3	Neural Network (Specific Model)	11	0.845	69884	268.7757352941176	3370329	0.41	3536	503	190725		HSMG_3
T2109199122_maxbin2_bins_bin.5	97.32	4.03	40	20	3	2	1	Gradient Boost (General Model)	11	0.883	9448	279.4375	1515179	0.39	1600	257	34334		HSMG_3
T2109199142_maxbin2_bins_bin.7	95.7	1.73	48	19	0	0	0	Neural Network (Specific Model)	11	0.895	130043	314.63252508361205	2515490	0.6	2392	67	311388		HSMG_3
T2108174063_concoct_bins_bin.4	94.17	0.02	61	17	0	0	2	Neural Network (Specific Model)	11	0.877	187108	320.9840065058281	4045855	0.55	3689	51	444615		HSMG_3
T2108174096_concoct_bins_bin.131	92.32	4.41	38	17	0	0	2	Neural Network (Specific Model)	11	0.878	7307	271.4466050366592	2906930	0.39	3137	498	34816		HSMG_3
T2108174111_metabat2_bins_bin.11	91.42	0.05	43	19	0	0	1	Neural Network (Specific Model)	11	0.911	251706	320.39159439626417	4737517	0.56	4497	37	512843		HSMG_3
T2108174122_maxbin2_bins_bin.50	92.37	4.21	51	19	4	2	2	Neural Network (Specific Model)	11	0.877	14049	290.4126323751891	2623513	0.41	2644	416	80845		HSMG_3
T2108174127_concoct_bins_bin.138	95.4	3.71	50	20	1	1	1	Gradient Boost (General Model)	11	0.91	26530	293.2694377990431	3228043	0.58	3344	185	75013		HSMG_3
T2108174135_maxbin2_bins_bin.1	98.99	0.02	47	20	2	3	2	Neural Network (Specific Model)	11	0.905	131841	270.1518046709129	841529	0.53	942	11	243421		HSMG_3
T2108174142_concoct_bins_bin.102	95.47	2.85	34	18	1	0	2	Gradient Boost (General Model)	11	0.892	5103	257.82252559726965	1520621	0.43	1758	401	36010		HSMG_3
T2108174146_concoct_bins_bin.3	98.63	0.26	49	20	1	1	1	Neural Network (Specific Model)	11	0.856	269577	290.86595949855354	1054952	0.52	1037	6	444955		HSMG_3
T2109198895_metabat2_bins_bin.8	90.75	0.0	17	12	0	0	1	Neural Network (Specific Model)	11	0.839	37641	293.2762046696473	2108739	0.32	2013	76	115975		HSMG_3
T2109198931_metabat2_bins_bin.20	98.02	1.72	32	15	1	1	7	Neural Network (Specific Model)	11	0.845	80593	291.9517210549844	4632786	0.38	4474	85	246394		HSMG_3
T2109198945_metabat2_bins_bin.3	91.92	1.42	38	18	0	0	5	Neural Network (Specific Model)	11	0.848	16994	263.99480904708935	5030353	0.35	5394	465	124727		HSMG_3
T2109198972_concoct_bins_bin.3	99.5	0.6	37	19	0	0	1	Neural Network (Specific Model)	11	0.911	11483	263.9079685746352	772654	0.49	891	93	29883		HSMG_3
T2109199028_maxbin2_bins_bin.9	100.0	4.22	62	20	1	1	5	Neural Network (Specific Model)	11	0.87	139155	313.8100845410628	3578643	0.67	3312	297	445021		HSMG_3
T2109199163_maxbin2_bins_bin.22	99.3	2.88	49	20	0	0	0	Neural Network (Specific Model)	11	0.886	24058	291.96180941787173	2659566	0.59	2697	300	107543		HSMG_3
T2108173978_concoct_bins_bin.164	94.92	4.7	31	18	0	0	2	Neural Network (Specific Model)	11	0.902	10042	280.3050785531604	2548408	0.37	2737	404	51499		HSMG_3
T2108173978_metabat2_bins_bin.38	94.89	0.05	57	19	0	0	5	Neural Network (Specific Model)	11	0.887	73420	311.3733024180192	3172484	0.47	3019	74	231937		HSMG_3
T2108174063_metabat2_bins_bin.71	90.14	2.82	64	18	0	0	5	Neural Network (Specific Model)	11	0.901	129997	320.95880149812734	4271160	0.55	4005	65	245569		HSMG_3
T2108174098_metabat2_bins_bin.70	90.12	3.23	48	18	0	0	7	Neural Network (Specific Model)	11	0.91	9819	292.0132262635805	2036326	0.39	2117	283	36059		HSMG_3
T2108174100_concoct_bins_bin.132	94.68	3.41	41	18	0	0	2	Neural Network (Specific Model)	11	0.914	23709	321.79252704031467	2145312	0.6	2034	199	124152		HSMG_3
T2108174122_metabat2_bins_bin.10	92.26	1.63	30	17	0	0	1	Gradient Boost (General Model)	11	0.924	223555	336.4218415417559	2035502	0.41	1868	28	309105		HSMG_3
T2108174127_maxbin2_bins_bin.127	92.41	0.86	25	14	0	0	0	Gradient Boost (General Model)	11	0.899	8081	307.06938989264205	3909216	0.44	3819	753	41600		HSMG_3
T2108174131_concoct_bins_bin.88	90.02	4.63	42	18	0	0	1	Neural Network (Specific Model)	11	0.876	8265	309.8832743810005	2096629	0.56	1979	385	77355		HSMG_3
T2108174135_maxbin2_bins_bin.37	100.0	3.57	45	20	1	1	2	Gradient Boost (General Model)	11	0.922	586908	303.8150263620387	2246170	0.55	2276	124	1052479		HSMG_3
T2108174135_metabat2_bins_bin.15	90.93	0.1	43	20	1	1	1	Gradient Boost (General Model)	11	0.912	136837	282.81772151898736	733017	0.53	790	6	243421		HSMG_3
T2109198875_concoct_bins_bin.9	99.42	4.56	47	18	0	0	1	Neural Network (Specific Model)	11	0.892	13105	291.8039373242266	4877288	0.64	4978	547	61002		HSMG_3
T2109198950_concoct_bins_bin.0	100.0	3.01	46	20	0	0	0	Neural Network (Specific Model)	11	0.891	128169	303.2943575798776	2996548	0.6	2942	101	286216		HSMG_3
T2109198995_maxbin2_bins_bin.1	95.97	3.81	30	13	0	0	3	Neural Network (Specific Model)	11	0.86	151383	293.69319114027894	2494780	0.33	2438	147	494865		HSMG_3
T2109198999_maxbin2_bins_bin.13	100.0	4.59	24	13	0	0	2	Neural Network (Specific Model)	11	0.868	98815	299.15092366678283	2962193	0.39	2869	132	226726		HSMG_3
T2109199032_maxbin2_bins_bin.4	100.0	4.45	38	18	0	0	2	Neural Network (Specific Model)	11	0.856	80270	286.5255754475703	3135078	0.38	3128	174	427807		HSMG_3
T2109199046_maxbin2_bins_bin.8	99.94	4.22	79	20	4	5	8	Neural Network (Specific Model)	11	0.865	26527	296.2631154156578	6354646	0.6	6195	562	203509		HSMG_3
T2109199122_maxbin2_bins_bin.8	100.0	4.78	62	20	1	0	0	Gradient Boost (General Model)	11	0.893	199207	312.68342440801456	2878777	0.57	2745	118	614508		HSMG_3
T2109199137_metabat2_bins_bin.7	92.66	1.96	42	19	0	0	2	Neural Network (Specific Model)	11	0.841	50567	297.0399804973184	2170147	0.32	2051	61	174377		HSMG_3
T2109199150_concoct_bins_bin.22	91.7	1.02	29	16	0	0	0	Gradient Boost (General Model)	11	0.867	5234	260.1492418196329	1124595	0.39	1253	265	16418		HSMG_3
T2109199215_metabat2_bins_bin.2	94.3	0.06	23	14	0	0	1	Gradient Boost (General Model)	11	0.854	29889	284.4153498871332	1325484	0.33	1329	64	89463	Low confidence prediction - substantial (39%) disagreement between completeness prediction models	HSMG_3
T2108174095_maxbin2_bins_bin.18	95.71	3.25	54	20	4	3	2	Neural Network (Specific Model)	11	0.872	149497	308.4963119072708	2009897	0.53	1898	168	496618		HSMG_3
T2108174097_maxbin2_bins_bin.0	100.0	2.24	45	20	2	1	1	Neural Network (Specific Model)	11	0.869	168989	309.50994431185364	2679267	0.59	2514	127	537946		HSMG_3
T2108174100_maxbin2_bins_bin.48	99.58	4.86	30	18	0	0	0	Neural Network (Specific Model)	11	0.898	32532	277.8624292555507	2128493	0.41	2297	191	146989		HSMG_3
T2108174135_concoct_bins_bin.119	95.56	3.74	54	17	0	0	1	Neural Network (Specific Model)	11	0.872	13118	268.1609561752988	3465900	0.38	3765	437	90123		HSMG_3
T2108174147_metabat2_bins_bin.72	92.48	0.7	31	18	0	0	0	Gradient Boost (General Model)	11	0.867	20272	290.95134665508255	1155912	0.38	1151	93	59142		HSMG_3
T2109199096_concoct_bins_bin.24	93.73	4.24	17	8	0	0	2	Neural Network (Specific Model)	11	0.866	57781	299.6622329705764	2570942	0.34	2481	84	174308		HSMG_3
T2109199122_concoct_bins_bin.12	98.4	2.17	33	17	2	1	0	Gradient Boost (General Model)	11	0.896	9571	285.36865021770683	1313417	0.39	1378	198	34334		HSMG_3
T2109199160_metabat2_bins_bin.8	99.92	0.68	36	14	0	0	3	Neural Network (Specific Model)	11	0.828	141216	271.90975690975694	5907828	0.35	6006	104	451758		HSMG_3
T2109199174_metabat2_bins_bin.17	92.57	1.43	24	13	0	0	6	Neural Network (Specific Model)	11	0.863	164973	286.6020013645668	4373270	0.37	4397	54	429452		HSMG_3
T2108174112_metabat2_bins_bin.2	90.76	0.15	45	18	0	0	0	Neural Network (Specific Model)	11	0.828	20510	295.3346515076619	2163279	0.52	2023	157	71043		HSMG_3
T2108174126_maxbin2_bins_bin.51	97.2	3.81	41	18	0	0	1	Gradient Boost (General Model)	11	0.891	39829	330.65183537263624	1998800	0.51	1798	160	170579		HSMG_3
T2108174127_maxbin2_bins_bin.44	100.0	3.0	37	19	0	0	0	Neural Network (Specific Model)	11	0.917	238720	344.4565573770492	4119231	0.39	3660	154	683917		HSMG_3
T2108174147_concoct_bins_bin.64	99.99	4.49	52	20	0	0	2	Neural Network (Specific Model)	11	0.838	44559	346.9039913700108	2300212	0.59	1854	95	107648		HSMG_3
T2109198948_concoct_bins_bin.1	100.0	3.32	43	18	0	0	7	Neural Network (Specific Model)	11	0.848	58879	274.9064064064064	5821544	0.35	5994	169	183579		HSMG_3
T2109198948_concoct_bins_bin.59	91.63	3.13	59	19	0	0	6	Neural Network (Specific Model)	11	0.882	13532	294.90380761523045	5497585	0.55	5489	579	163922		HSMG_3
T2109198962_maxbin2_bins_bin.0	100.0	3.95	87	20	3	1	8	Neural Network (Specific Model)	11	0.872	66855	300.05119002644506	5456427	0.55	5294	392	181749		HSMG_3
T2109198985_maxbin2_bins_bin.8	99.9	3.78	55	18	0	0	2	Neural Network (Specific Model)	11	0.898	164972	321.3757459505541	5031744	0.66	4692	167	319502		HSMG_3
T2109199046_metabat2_bins_bin.10	90.09	2.68	71	18	0	0	0	Neural Network (Specific Model)	11	0.89	124329	317.6520195295162	4819698	0.55	4506	62	592250		HSMG_3
T2109199109_metabat2_bins_bin.9	90.33	0.01	41	20	0	0	0	Neural Network (Specific Model)	11	0.899	488478	317.3011391778108	2133016	0.6	2019	9	584337		HSMG_3
T2109199148_concoct_bins_bin.30	99.12	4.58	63	20	0	0	2	Neural Network (Specific Model)	11	0.888	5217	263.3069690265487	3210251	0.72	3616	851	34454		HSMG_3
T2109199214_concoct_bins_bin.29	90.05	2.16	41	18	1	0	1	Neural Network (Specific Model)	11	0.862	8230	290.7273593898951	2116467	0.64	2098	396	33519		HSMG_3
T2108173934_maxbin2_bins_bin.7	99.92	3.76	55	20	6	14	3	Neural Network (Specific Model)	11	0.865	263407	296.246040126716	1940797	0.52	1894	251	514365		HSMG_3
T2109198931_concoct_bins_bin.0	100.0	3.62	36	16	1	1	8	Neural Network (Specific Model)	11	0.844	75944	289.75562283737025	4757360	0.38	4624	99	246394		HSMG_3
T2109199026_maxbin2_bins_bin.6	90.86	4.88	50	20	0	0	2	Neural Network (Specific Model)	11	0.867	15292	310.2515454113172	2252977	0.64	2103	276	69464		HSMG_3
R_T2109198882_concoct_bins_bin.3	99.62	0.14	54	18	1	1	2	Neural Network (Specific Model)	11	0.897	263518	326.52987654320987	4417844	0.64	4050	36	688113		HSMG_4628
R_T2109198892_maxbin2_bins_bin.11	100.0	0.01	61	20	0	0	1	Neural Network (Specific Model)	11	0.897	100622	324.4134199134199	5006755	0.66	4620	114	417471		HSMG_4628
R_T2109198893_concoct_bins_bin.7	99.99	0.4	48	20	0	0	0	Neural Network (Specific Model)	11	0.887	178131	340.82667245873154	2650369	0.71	2302	26	474988		HSMG_4628
R_T2109198893_maxbin2_bins_bin.3	100.0	1.22	52	20	0	0	0	Neural Network (Specific Model)	11	0.884	152929	335.0296794618124	2869676	0.71	2527	60	474988		HSMG_4628
R_T2109198914_maxbin2_bins_bin.16	97.23	0.48	51	20	3	1	4	Neural Network (Specific Model)	11	0.9	20779	300.4193548387097	2384873	0.6	2387	222	100297		HSMG_4628
R_T2109198918_maxbin2_bins_bin.18	92.43	2.82	41	17	0	0	0	Neural Network (Specific Model)	11	0.892	7249	288.4666890982504	2877318	0.7	2972	602	39020		HSMG_4628
R_T2109198918_metabat2_bins_bin.5	99.73	0.14	22	15	0	0	3	Neural Network (Specific Model)	11	0.844	51231	299.6983372921615	2238091	0.32	2105	86	146584		HSMG_4628
R_T2109198919_concoct_bins_bin.17	100.0	0.0	40	16	0	0	4	Neural Network (Specific Model)	11	0.888	125660	291.501345532831	3655320	0.41	3716	40	722225		HSMG_4628
R_T2109198919_concoct_bins_bin.22	100.0	0.76	41	20	0	1	4	Neural Network (Specific Model)	11	0.858	52344	311.82934484111416	2776930	0.43	2549	106	148403		HSMG_4628
R_T2109198919_maxbin2_bins_bin.13	100.0	2.44	45	16	0	0	4	Neural Network (Specific Model)	11	0.88	122117	284.0064903846154	4020137	0.42	4160	183	722225		HSMG_4628
R_T2109198941_maxbin2_bins_bin.0	100.0	0.03	75	19	0	0	4	Neural Network (Specific Model)	11	0.882	476462	322.14637305699483	5068622	0.6	4632	23	1018257		HSMG_4628
R_T2109198998_metabat2_bins_bin.11	94.22	1.15	33	17	0	0	1	Neural Network (Specific Model)	11	0.864	145875	293.22872340425533	2485261	0.33	2444	55	273291		HSMG_4628
R_T2109199087_maxbin2_bins_bin.22	100.0	1.86	42	19	1	0	3	Neural Network (Specific Model)	11	0.868	50127	293.60795011691346	2600126	0.38	2566	137	132267		HSMG_4628
R_T2109199087_metabat2_bins_bin.23	93.71	0.91	36	19	0	0	0	Neural Network (Specific Model)	11	0.89	13401	293.34444814938314	2960760	0.36	2999	344	60575		HSMG_4628
R_T2109199198_metabat2_bins_bin.7	95.64	0.02	21	14	0	0	2	Neural Network (Specific Model)	11	0.849	70300	287.22690106295994	2479813	0.33	2446	57	183164		HSMG_4628
T2107171953_metabat2_bins_bin.12	100.0	0.35	24	15	0	0	4	Gradient Boost (General Model)	11	0.88	51576	322.858958068615	1731677	0.37	1574	53	131714		HSMG_4628
T2107171963_metabat2_bins_bin.12	95.0	0.17	23	14	0	0	4	Neural Network (Specific Model)	11	0.863	116056	288.71736320551486	2325209	0.33	2321	37	335089		HSMG_4628
T2107171967_metabat2_bins_bin.15	91.08	0.35	39	19	0	0	0	Neural Network (Specific Model)	11	0.908	15008	289.85312196700096	2953548	0.7	3091	284	72798		HSMG_4628
T2107171968_concoct_bins_bin.36	99.66	0.04	46	20	0	0	3	Neural Network (Specific Model)	11	0.901	228733	336.17081604426005	1617105	0.52	1446	18	515193		HSMG_4628
T2107171968_metabat2_bins_bin.5	94.49	0.73	26	12	1	1	1	Neural Network (Specific Model)	11	0.891	57765	306.6337135614702	1625563	0.28	1578	57	124853		HSMG_4628
T2107171973_concoct_bins_bin.42	96.24	0.08	39	20	0	0	0	Neural Network (Specific Model)	11	0.93	17712	289.8855154965212	1474086	0.29	1581	121	124492		HSMG_4628
T2107171978_concoct_bins_bin.115	98.54	2.02	30	16	0	0	0	Neural Network (Specific Model)	11	0.903	31740	280.6953467954346	2120535	0.41	2278	181	105265		HSMG_4628
T2107171978_concoct_bins_bin.129	99.76	0.76	29	15	0	0	0	Gradient Boost (General Model)	11	0.911	39709	291.26858974358976	1491791	0.51	1560	71	98273		HSMG_4628
T2107171979_maxbin2_bins_bin.0	100.0	4.44	50	20	0	0	0	Neural Network (Specific Model)	11	0.891	234011	310.8361581920904	2769006	0.6	2655	136	421512		HSMG_4628
T2107171979_metabat2_bins_bin.9	99.86	0.25	46	20	0	0	0	Neural Network (Specific Model)	11	0.904	322778	334.0179434092478	1603898	0.53	1449	9	514298		HSMG_4628
T2107171985_concoct_bins_bin.160	97.03	1.76	53	19	0	0	6	Neural Network (Specific Model)	11	0.884	24854	367.62467484206616	3354389	0.49	2691	187	72150		HSMG_4628
T2107171987_concoct_bins_bin.43	91.25	0.61	35	20	0	0	0	Neural Network (Specific Model)	11	0.929	157299	306.94990488268866	3116571	0.4	3154	31	471934		HSMG_4628
T2107171989_concoct_bins_bin.63	100.0	0.42	46	20	1	0	0	Neural Network (Specific Model)	11	0.896	246911	314.2922337870296	2622038	0.6	2498	29	455655		HSMG_4628
T2107171993_concoct_bins_bin.20	100.0	0.14	40	19	1	0	1	Neural Network (Specific Model)	11	0.893	39969	304.68055555555554	3755109	0.67	3672	148	145100		HSMG_4628
T2107171996_concoct_bins_bin.46	100.0	0.03	40	20	0	0	2	Neural Network (Specific Model)	11	0.86	70636	313.79644097222223	2520668	0.44	2304	74	238355		HSMG_4628
T2107171999_concoct_bins_bin.59	100.0	0.02	41	20	0	0	0	Gradient Boost (General Model)	11	0.93	363785	327.4179229480737	1257781	0.42	1194	12	566120		HSMG_4628
T2107172002_concoct_bins_bin.91	99.4	1.96	43	19	0	0	1	Neural Network (Specific Model)	11	0.885	27937	318.082461205341	5965710	0.66	5542	319	83767		HSMG_4628
T2107172004_concoct_bins_bin.44	94.91	1.02	50	20	0	0	0	Neural Network (Specific Model)	11	0.891	19379	290.68215417106654	3699489	0.67	3788	272	67130		HSMG_4628
T2107172015_maxbin2_bins_bin.0	100.0	0.28	45	20	1	0	0	Neural Network (Specific Model)	11	0.897	246869	318.63667232597624	2505253	0.6	2356	30	607141		HSMG_4628
T2107172018_concoct_bins_bin.69	93.33	1.17	21	12	0	0	1	Neural Network (Specific Model)	11	0.833	30493	284.3988559542382	1965236	0.44	1923	99	75024		HSMG_4628
T2107172024_concoct_bins_bin.27	99.88	1.38	19	13	1	0	1	Neural Network (Specific Model)	11	0.905	60588	305.92390139335475	1888246	0.3	1866	56	193447		HSMG_4628
T2108173863_metabat2_bins_bin.23	98.72	0.09	39	19	0	0	0	Neural Network (Specific Model)	11	0.889	68061	304.1551579535924	3665196	0.65	3577	102	150404		HSMG_4628
T2108173866_concoct_bins_bin.113	100.0	2.24	53	20	0	0	6	Neural Network (Specific Model)	11	0.868	196614	312.05516088591725	2578752	0.53	2393	56	378940		HSMG_4628
T2108173872_concoct_bins_bin.23	99.69	0.05	46	20	2	2	0	Neural Network (Specific Model)	11	0.899	306659	337.15460295151087	1598380	0.53	1423	22	492624		HSMG_4628
T2108173874_metabat2_bins_bin.76	95.87	1.02	33	19	0	0	0	Neural Network (Specific Model)	11	0.903	152758	306.1804741980474	3635474	0.43	3585	41	411649		HSMG_4628
T2108173886_maxbin2_bins_bin.39	99.36	0.23	38	20	1	1	0	Gradient Boost (General Model)	11	0.911	483054	335.63097294185377	3834671	0.42	3474	41	557222		HSMG_4628
T2108173887_maxbin2_bins_bin.0	99.27	2.78	48	20	1	0	1	Neural Network (Specific Model)	11	0.925	168926	315.56747967479674	2509512	0.67	2460	37	488722		HSMG_4628
T2108173887_maxbin2_bins_bin.11	100.0	2.22	50	20	0	0	2	Neural Network (Specific Model)	11	0.869	163288	310.24464681269995	4344777	0.48	4063	118	298399		HSMG_4628
T2108173887_maxbin2_bins_bin.81	92.22	2.19	41	20	1	1	1	Gradient Boost (General Model)	11	0.912	32534	309.68613933236577	2803896	0.7	2756	168	105124		HSMG_4628
T2108173887_metabat2_bins_bin.37	100.0	0.06	33	19	0	0	1	Gradient Boost (General Model)	11	0.924	276632	334.0108695652174	2490588	0.41	2300	18	391651		HSMG_4628
T2108173887_metabat2_bins_bin.61	98.87	0.0	36	19	0	0	0	Neural Network (Specific Model)	11	0.892	181040	341.0016974726518	6073154	0.5	5302	41	750092		HSMG_4628
T2108173892_metabat2_bins_bin.47	97.45	0.14	42	20	0	0	2	Neural Network (Specific Model)	11	0.934	138878	319.4890135577373	2190151	0.55	2139	22	538233		HSMG_4628
T2108173894_concoct_bins_bin.68	99.8	0.95	52	20	1	1	1	Neural Network (Specific Model)	11	0.93	676258	312.09371196754563	2473440	0.67	2465	22	893844		HSMG_4628
T2108173902_metabat2_bins_bin.48	97.18	0.04	58	20	0	0	0	Neural Network (Specific Model)	11	0.907	242915	340.94654625335613	4611855	0.52	4097	26	883744		HSMG_4628
T2108173909_concoct_bins_bin.144	98.71	1.3	42	18	0	0	0	Neural Network (Specific Model)	11	0.896	21752	325.03034901365703	2865206	0.71	2636	187	99979		HSMG_4628
T2108173910_concoct_bins_bin.25	98.23	0.19	48	20	0	0	2	Neural Network (Specific Model)	11	0.871	150677	341.2116402116402	1553139	0.43	1323	47	317209		HSMG_4628
T2108173910_maxbin2_bins_bin.77	99.61	1.13	39	18	0	0	1	Neural Network (Specific Model)	11	0.897	26973	290.19271831371475	3538760	0.67	3653	275	83691		HSMG_4628
T2108173912_concoct_bins_bin.53	99.91	0.06	45	20	0	0	0	Neural Network (Specific Model)	11	0.898	575650	320.5045592705167	2457845	0.6	2303	15	702115		HSMG_4628
T2108173913_metabat2_bins_bin.83	93.14	0.71	35	17	0	0	1	Gradient Boost (General Model)	11	0.921	14471	305.12079927338783	2184243	0.67	2202	249	62031		HSMG_4628
T2108173914_maxbin2_bins_bin.53	91.28	4.03	45	18	0	0	0	Neural Network (Specific Model)	11	0.831	18243	290.26106194690266	2365157	0.52	2260	251	55194		HSMG_4628
T2108173918_metabat2_bins_bin.68	93.5	0.55	36	17	0	0	1	Neural Network (Specific Model)	11	0.942	42893	319.9410307234886	2052374	0.6	2018	81	106400		HSMG_4628
